Model,Mean,Std,Min,Max,CV_Coef,CI_Lower,CI_Upper
Random Forest,0.9997390507428436,1.7096271273789134e-06,0.9997356320978221,0.9997399678981621,1.7100733697544336e-06,0.9997373330877911,0.9997399345679951
LightGBM,0.9996864472551052,1.3827527413756596e-05,0.9996657790895593,0.9997067698942432,1.3831864432816518e-05,0.9996734842750342,0.9996989736011991
SVM,0.9996564638561238,0.00011777456261875231,0.9994684115434097,0.9997690585903021,0.00011781503634202788,0.9995464012861405,0.9997539252249373
XGBoost,0.9994770377041627,1.7971667305605265e-05,0.9994464326072006,0.9994942608010758,1.79810707276346e-05,0.9994593041400236,0.9994912672315784
Logistic Regression,0.9976946348859237,4.431107598256658e-05,0.9976366277674031,0.9977551245811462,4.44134652359167e-05,0.9976564008090548,0.9977328689627925
